,word,points,word_length
16533,ABOUT,20,5
25231,ABOUT,25,5
25391,ABOUT,31,5
6253,ABOVE,20,5
10915,ABOVE,20,5
29884,ABOVE,42,5
48067,ABOVE,22,5
56790,ABOVE,20,5
39109,ABRAIDED,62,8
39791,ABRASION,86,8
30902,ABRASIVE,76,8
50278,ABRAZO,40,6
28244,ABREAST,90,7
4345,ABREGES,94,7
2954,ABRIN,27,5
15553,ABRIN,32,5
35225,ABROOKE,26,7
48795,ABROSIA,85,7
3219,ABRUPT,28,6
47507,ABS,14,3
16700,ABSCISS,105,7
2753,ABSCOND,74,7
11129,ABSEY,39,5
9065,ABSURDLY,176,8
39172,ABSURDLY,78,8
12937,ABULIA,27,6
44363,ABULIA,22,6
56221,ABULIC,35,6
10648,ABUNA,34,5
22783,ABUNA,49,5
31907,ABUNA,23,5
54263,ABUNA,23,5
26496,ABUNE,26,5
45265,ABUNE,34,5
45320,ABUNE,30,5
56362,ABUNE,29,5
53463,ABUSAGE,92,7
51866,ABUSER,75,6
12622,ABUSIVE,36,7
34924,ABUT,20,4
16294,ABUTTED,24,7
36555,ABUTTERS,83,8
979,ABVOLT,15,6
60173,ABVOLT,24,6
39934,ABWATT,28,6
10851,ABY,38,3
21699,ABY,32,3
29675,ABY,34,3
40455,ABY,37,3
58842,ABY,29,3
1113,ACAI,21,4
33358,ACAI,19,4
48322,ACAI,24,4
50611,ACAI,25,4
51046,ACAI,33,4
53486,ACAI,24,4
53727,ACAI,26,4
57053,ACAI,25,4
18019,ACAJOU,69,6
52809,ACAJOU,30,6
12485,ACANTHAE,76,8
15433,ACANTHS,76,7
25041,ACARI,26,5
42244,ACARI,30,5
18224,ACARIDIAN,64,9
47086,ACARIDS,43,7
40543,ACATERS,81,7
60503,ACATES,20,6
45833,ACATOUR,73,7
49487,ACAUDATE,72,8
10153,ACAULINE,64,8
40139,ACAULINE,90,8
6419,ACCA,27,4
46991,ACCA,26,4
34993,ACCENDS,80,7
5556,ACCENT,27,6
25843,ACCENTED,65,8
9645,ACCENTOR,83,8
15272,ACCITE,39,6
49677,ACCITED,39,7
7122,ACCOIED,82,7
13877,ACCOILS,70,7
23114,ACCORDER,80,8
33323,ACCOUTRE,94,8
1896,ACCRETE,81,7
23635,ACCREW,48,6
44696,ACCRUAL,81,7
16467,ACCRUING,83,8
24266,ACCUSANTS,68,9
8080,ACE,22,3
15120,ACE,24,3
17432,ACE,15,3
35896,ACE,16,3
42843,ACE,8,3
55737,ACE,27,3
12953,ACED,29,4
24032,ACED,30,4
15297,ACEDIA,33,6
3479,ACERATE,74,7
7024,ACERATE,68,7
27477,ACERATED,86,8
52044,ACERATED,88,8
28823,ACERB,21,5
46388,ACERB,36,5
2991,ACERBEST,95,8
21161,ACERVATE,71,8
26226,ACETA,30,5
50690,ACETA,42,5
2302,ACETALS,73,7
4507,ACETATED,26,8
30482,ACETIN,37,6
50063,ACETONES,61,8
15534,ACETONIC,78,8
33426,ACETOSE,82,7
35611,ACHAR,50,5
20768,ACHED,47,5
33271,ACHENIA,76,7
40599,ACHOO,33,5
38180,ACHY,45,4
17852,ACICULAE,80,8
12597,ACID,21,4
18466,ACIDEST,74,7
31163,ACIDIER,33,7
27167,ACIDIEST,80,8
59810,ACIDURIA,64,8
58813,ACIERATE,65,8
25352,ACING,36,5
46345,ACING,21,5
7325,ACINI,28,5
32737,ACINOSE,83,7
51022,ACINOSE,72,7
58048,ACINOSE,75,7
25712,ACKEE,45,5
44485,ACKEE,24,5
21975,ACKEES,53,6
29982,ACKER,26,5
13550,ACMIC,28,5
40364,ACMIC,62,5
55873,ACNE,40,4
11314,ACNED,27,5
38711,ACNED,33,5
48904,ACNODAL,32,7
52213,ACNODAL,22,7
57751,ACOEMETI,59,8
21430,ACORNED,77,7
20324,ACQUAINT,57,8
14383,ACQUIRED,78,8
30108,ACQUIREE,24,8
31407,ACQUIREE,88,8
20005,ACQUIRER,104,8
47012,ACQUIRERS,40,9
45772,ACQUIS,54,6
45781,ACQUISITOR,63,10
20986,ACRATIC,33,7
19186,ACRAWL,30,6
47144,ACRID,30,5
36185,ACROBATS,76,8
55967,ACROLITH,89,8
13096,ACROTER,72,7
34022,ACRYLYL,73,7
1384,ACT,24,3
3022,ACT,28,3
28981,ACT,32,3
48173,ACTA,30,4
54396,ACTANTS,67,7
54046,ACTIN,17,5
60114,ACTIN,33,5
12535,ACTINIA,76,7
24543,ACTINIAE,74,8
59584,ACTINIAE,61,8
24754,ACTINIDE,72,8
44209,ACTINIUM,74,8
23204,ACTINOID,87,8
12191,ACTINONS,83,8
49920,ACTIONED,73,8
53168,ACTIONED,94,8
9025,ACTIONER,86,8
54943,ACTIONER,70,8
57239,ACTIONER,66,8
6459,ACTIVE,42,6
51789,ACTORLY,78,7
31847,ACTUATED,78,8
27376,ACTUATOR,86,8
43373,ACTURE,36,6
38755,ACUATE,22,6
18547,ACUATING,28,8
48098,ACUITIES,68,8
18926,ACULEATE,62,8
22,ACULEI,22,6
53493,ACULEI,26,6
44131,ACUMEN,26,6
2772,ACUTE,26,5
42672,ACUTE,36,5
5396,ACUTELY,71,7
31300,ACUTELY,48,7
17916,ACYL,40,4
51852,ACYLATES,67,8
7585,AD,9,2
12073,AD,18,2
12109,AD,16,2
15254,AD,19,2
18085,AD,26,2
24124,AD,12,2
25692,AD,9,2
25878,AD,10,2
42608,AD,16,2
43639,AD,20,2
51640,AD,9,2
56635,AD,19,2
57881,AD,8,2
58297,AD,8,2
60492,AD,31,2
4726,ADAGIO,20,6
13286,ADAGIO,37,6
44364,ADAGIO,24,6
32798,ADAPTERS,94,8
1403,ADAW,29,4
24352,ADAW,25,4
29530,ADAW,33,4
50604,ADAW,27,4
58105,ADAWS,36,5
13020,ADBOT,34,5
33918,ADBOT,16,5
20965,ADD,26,3
53488,ADD,23,3
56161,ADD,24,3
39099,ADDED,31,5
41067,ADDEEM,44,6
2798,ADDICT,36,6
835,ADDIO,16,5
15657,ADDIO,40,5
42829,ADDIO,33,5
25899,ADDITORY,83,8
53601,ADDREST,77,7
33198,ADDS,28,4
9532,ADDUCENT,80,8
2581,ADDY,31,4
31574,ADEEM,22,5
33489,ADENINE,70,7
54545,ADENINE,68,7
9084,ADENOIDS,140,8
6421,ADENOMA,68,7
43623,ADENOMA,76,7
55453,ADENOSES,80,8
9137,ADENYL,35,6
34443,ADEPT,12,5
326,ADERMIN,75,7
40397,ADERMINS,94,8
53102,ADERMINS,80,8
1241,ADESPOTA,86,8
32433,ADHAN,19,5
34388,ADHAN,37,5
27421,ADHERENT,79,8
12608,ADHERER,85,7
3447,ADIEU,23,5
3718,ADIEU,21,5
5914,ADIEU,38,5
8013,ADIEU,14,5
15561,ADIEU,11,5
17430,ADIEU,21,5
19750,ADIEU,18,5
21773,ADIEU,18,5
21815,ADIEU,25,5
26590,ADIEU,12,5
30739,ADIEU,14,5
36021,ADIEU,17,5
36368,ADIEU,6,5
38060,ADIEU,21,5
49343,ADIEU,17,5
57305,ADIEU,22,5
26790,ADIEUX,44,6
38493,ADIPIC,28,6
54137,ADIPIC,34,6
22105,ADIPOSE,40,7
45632,ADIPOUS,33,7
55689,ADIT,26,4
56244,ADIT,20,4
40225,ADJIGO,36,6
59648,ADJOINED,100,8
40654,ADJOINT,94,7
4864,ADJOINTS,85,8
23663,ADJOINTS,98,8
35030,ADJURE,32,6
58653,ADJURE,37,6
15450,ADJURER,65,7
49881,ADJUROR,46,7
43608,ADJUST,68,6
25170,ADLAND,30,6
15090,ADMAN,30,5
15643,ADMIT,21,5
17128,ADMIX,69,5
21149,ADMIX,46,5
42054,ADMIX,47,5
29669,ADMONISH,67,8
39609,ADMONISH,76,8
56197,ADNEXA,85,6
40003,ADNEXAL,105,7
49619,ADNEXAL,30,7
55665,ADNOUN,20,6
9497,ADNOUNS,27,7
1419,ADO,33,3
16108,ADO,19,3
24135,ADO,15,3
25705,ADO,20,3
46834,ADO,22,3
54681,ADO,16,3
16599,ADOBES,32,6
34207,ADOBO,18,5
45329,ADOBO,30,5
52152,ADOBO,30,5
10011,ADONISES,72,8
11299,ADOORS,30,6
17181,ADOPT,46,5
34208,ADOPT,25,5
36573,ADOPT,26,5
21545,ADOPTEES,149,8
4700,ADORE,45,5
52225,ADORE,21,5
34455,ADORING,86,7
5462,ADORN,23,5
7785,ADORN,20,5
57268,ADORN,26,5
31625,ADORNED,91,7
29450,ADORNER,20,7
31336,ADORNER,72,7
4921,ADORNING,70,8
42168,ADORNING,67,8
7259,ADOS,30,4
15952,ADOS,56,4
9965,ADOZE,60,5
16107,ADOZE,77,5
18228,ADOZE,53,5
45876,ADOZE,17,5
57650,ADRAD,23,5
23363,ADRATES,63,7
39206,ADRATES,86,7
60093,ADRATES,88,7
30410,ADREADED,94,8
4977,ADRENAL,76,7
13896,ADRENALS,72,8
30288,ADRENALS,86,8
36104,ADRENALS,60,8
59886,ADRENALS,80,8
24232,ADROITER,72,8
34385,ADROITER,78,8
8116,ADRY,36,4
11133,ADS,33,3
33403,ADS,31,3
39651,ADS,14,3
57950,ADSORBATE,76,9
4847,ADSORBS,76,7
33516,ADULARIA,70,8
47783,ADULATE,75,7
49871,ADULATED,72,8
37721,ADUNC,16,5
45129,ADUNC,23,5
5593,ADUST,36,5
13541,ADVECT,39,6
44732,ADVECT,24,6
13547,ADVECTION,45,9
16577,ADVECTS,68,7
38077,ADVENING,42,8
40674,ADVERB,26,6
41871,ADVERB,22,6
4673,ADVERBS,80,7
50363,ADVERSER,39,8
18100,ADVERT,35,6
3156,ADVERTED,65,8
17216,ADVERTED,65,8
1013,ADVERTS,72,7
40893,ADVEW,40,5
41639,ADVEW,49,5
45361,ADVEW,34,5
52824,ADVEW,24,5
56378,ADVEW,24,5
29037,ADVEWING,107,8
36417,ADVEWING,68,8
5491,ADVEWS,26,6
31750,ADVEWS,39,6
22733,ADVISEE,94,7
35504,ADVISEE,90,7
35635,ADYTA,36,5
481,ADZ,51,3
1127,ADZ,46,3
1862,ADZ,33,3
4899,ADZ,38,3
6098,ADZ,23,3
6314,ADZ,33,3
14951,ADZ,70,3
16751,ADZ,48,3
18327,ADZ,26,3
19687,ADZ,64,3
20053,ADZ,47,3
20179,ADZ,33,3
23079,ADZ,64,3
25088,ADZ,39,3
25242,ADZ,57,3
25771,ADZ,26,3
25826,ADZ,47,3
26015,ADZ,39,3
28699,ADZ,33,3
32337,ADZ,42,3
32493,ADZ,26,3
34819,ADZ,57,3
41018,ADZ,41,3
41109,ADZ,77,3
43957,ADZ,33,3
44576,ADZ,26,3
48760,ADZ,64,3
52164,ADZ,33,3
54380,ADZ,58,3
60464,ADZ,46,3
37505,ADZE,45,4
41666,ADZE,45,4
26696,ADZES,28,5
17035,ADZUKI,40,6
2862,AE,21,2
6082,AE,24,2
10112,AE,22,2
10460,AE,24,2
12838,AE,16,2
14801,AE,23,2
19090,AE,11,2
19494,AE,14,2
20553,AE,14,2
21210,AE,26,2
21678,AE,11,2
26892,AE,9,2
27336,AE,15,2
28282,AE,8,2
28643,AE,10,2
30567,AE,17,2
33894,AE,10,2
35788,AE,14,2
39806,AE,13,2
40957,AE,8,2
41333,AE,11,2
44151,AE,16,2
50021,AE,14,2
50971,AE,12,2
51597,AE,14,2
53779,AE,17,2
55466,AE,14,2
4129,AECIA,22,5
6693,AECIA,16,5
30825,AECIA,30,5
43147,AECIA,20,5
43478,AECIA,19,5
54481,AECIA,22,5
55982,AECIA,28,5
59956,AECIA,18,5
47703,AECIAL,16,6
48969,AECIDIA,18,7
25551,AEDES,33,5
26381,AEGIRINE,72,8
43586,AEGIRINE,61,8
4764,AEGIRITE,72,8
14681,AEGIRITE,72,8
20537,AEGIRITE,70,8
4282,AEGIS,38,5
35327,AEGROTAT,74,8
51832,AEGROTAT,80,8
56403,AEMULE,29,6
45993,AENEOUS,71,7
45400,AENEUS,30,6
27871,AEOLIAN,75,7
28696,AEOLIAN,21,7
30971,AEOLIAN,73,7
40574,AEOLIAN,77,7
44886,AEOLIAN,78,7
45644,AEOLIAN,38,7
4523,AEON,12,4
9642,AEON,19,4
10391,AEON,20,4
13088,AEON,9,4
40625,AEON,16,4
43444,AEON,19,4
48297,AEON,25,4
54011,AEON,18,4
59311,AEON,13,4
60624,AEON,16,4
16871,AEONIC,27,6
54837,AEONS,30,5
20651,AEQUORIN,88,8
40087,AERADIO,78,7
41507,AERADIO,74,7
56884,AERADIO,65,7
3365,AERADIOS,62,8
34264,AERADIOS,83,8
37967,AERADIOS,61,8
52931,AERADIOS,60,8
25152,AERATED,79,7
12466,AERATES,64,7
16232,AERATES,66,7
33178,AERATES,66,7
33662,AERATES,74,7
39374,AERATES,64,7
51479,AERATES,80,7
51791,AERATES,81,7
2662,AERATION,66,8
14775,AERATOR,63,7
54622,AERIAL,25,6
10651,AERIALS,66,7
2739,AERIE,23,5
13806,AERIE,12,5
14030,AERIE,47,5
17574,AERIE,16,5
20253,AERIE,26,5
22828,AERIE,29,5
30569,AERIE,30,5
30909,AERIE,10,5
38888,AERIE,18,5
55750,AERIE,26,5
7542,AERIED,38,6
49582,AERIED,22,6
22078,AERIER,12,6
59828,AERIFY,32,6
13367,AERILY,26,6
20086,AERILY,42,6
1121,AERO,15,4
1405,AERO,28,4
1408,AERO,15,4
7831,AERO,14,4
9520,AERO,12,4
10623,AERO,17,4
34160,AERO,21,4
39413,AERO,19,4
48770,AERO,13,4
56027,AERO,24,4
60013,AERO,22,4
29800,AEROBE,24,6
14678,AEROBES,66,7
45687,AEROBES,72,7
36541,AEROBIA,36,7
46240,AEROBIA,75,7
59883,AEROBIA,80,7
34930,AEROBOT,65,7
25360,AEROBOTS,72,8
28863,AEROBUS,90,7
36826,AERODART,63,8
22414,AERODYNE,66,8
32768,AERODYNE,72,8
7795,AEROFOIL,76,8
42780,AEROGEL,74,7
36489,AEROGELS,72,8
39614,AEROGELS,80,8
47746,AEROGELS,68,8
11213,AEROLITE,82,8
22939,AEROLITE,70,8
23462,AEROLITE,66,8
55165,AEROLITE,74,8
49771,AEROLITIC,75,9
93,AERONAUT,66,8
4226,AERONAUT,82,8
24533,AERONAUT,64,8
41848,AERONAUT,66,8
51244,AERONOMER,86,9
8130,AEROS,12,5
9542,AEROS,22,5
56052,AEROS,26,5
3712,AEROSAT,73,7
39789,AEROSAT,66,7
17106,AEROSOLS,74,8
34773,AEROSTAT,60,8
1488,AEROTONE,70,8
35676,AEROTONE,59,8
48419,AEROTONE,78,8
4543,AERUGO,18,6
2669,AERUGOS,63,7
60542,AERUGOS,74,7
59449,AERY,29,4
33555,AESC,54,4
18932,AESCES,38,6
8238,AESTIVAL,78,8
6952,AFALD,17,5
16291,AFALD,22,5
20532,AFALD,22,5
40980,AFALD,33,5
18435,AFAR,30,4
22963,AFARA,30,5
33968,AFARA,40,5
26567,AFAWLD,40,6
59720,AFEAR,52,5
16438,AFEARING,74,8
38236,AFEARING,80,8
52988,AFEARING,76,8
57978,AFF,38,3
19651,AFFIED,26,6
57041,AFFINE,32,6
10240,AFFINELY,76,8
42096,AFFIX,35,5
39469,AFFLUX,54,6
40774,AFFOORDED,76,9
47485,AFFORD,34,6
15786,AFFY,26,4
23037,AFFY,39,4
2349,AFIELD,38,6
11833,AFIRE,52,5
14405,AFIRE,32,5
48659,AFLAJ,31,5
26621,AFLUTTER,149,8
3226,AFOOT,28,5
15784,AFOOT,19,5
18026,AFOOT,9,5
34815,AFOUL,31,5
53010,AFOUL,28,5
51903,AFRAID,41,6
27800,AFREETS,62,7
44599,AFREETS,99,7
35843,AFRESH,52,6
55429,AFRIT,52,5
21118,AFRO,27,4
21432,AFRO,28,4
60216,AFROS,27,5
9982,AFT,32,3
17597,AFT,31,3
40351,AFT,29,3
41281,AFT,38,3
42340,AFT,14,3
56293,AFT,31,3
697,AG,24,2
1037,AG,12,2
8162,AG,42,2
8828,AG,18,2
9188,AG,14,2
14768,AG,9,2
18382,AG,18,2
19811,AG,6,2
22515,AG,21,2
22669,AG,21,2
32784,AG,16,2
33832,AG,23,2
46333,AG,23,2
51737,AG,12,2
24289,AGA,22,3
33762,AGA,15,3
34189,AGA,8,3
35099,AGA,15,3
43411,AGA,18,3
44572,AGA,23,3
47132,AGA,30,3
51765,AGA,18,3
53577,AGA,13,3
5194,AGAIN,27,5
4656,AGAMA,18,5
32976,AGAMA,44,5
35660,AGAMA,17,5
35678,AGAMI,29,5
51533,AGAMI,40,5
59916,AGAMI,18,5
50922,AGAMID,36,6
35847,AGAMIDS,92,7
41367,AGAMOID,67,7
57663,AGAPAE,22,6
23795,AGAPE,33,5
28864,AGAPE,24,5
9811,AGAPES,23,6
26442,AGAROSE,87,7
28078,AGAROSES,68,8
31723,AGARWOOD,101,8
29190,AGAST,36,5
34615,AGAST,21,5
34361,AGASTED,70,7
44293,AGASTED,27,7
44664,AGATE,24,5
31727,AGATISED,71,8
11573,AGAVE,28,5
28998,AGAVE,42,5
58147,AGAVE,9,5
5847,AGAZE,33,5
12326,AGAZE,30,5
24865,AGAZE,57,5
28879,AGAZE,75,5
31682,AGAZE,35,5
50037,AGAZE,45,5
52047,AGAZED,81,6
21888,AGE,20,3
39450,AGE,18,3
44986,AGE,16,3
14171,AGED,39,4
368,AGEE,16,4
19861,AGEE,24,4
21028,AGEE,11,4
23391,AGEE,23,4
29504,AGEE,11,4
36238,AGEE,20,4
44088,AGEE,25,4
49374,AGEE,22,4
50531,AGEE,31,4
53000,AGEE,10,4
53521,AGEE,22,4
59144,AGEE,16,4
59148,AGEE,25,4
18217,AGEIST,36,6
35040,AGELONG,22,7
18074,AGEN,19,4
23788,AGEN,23,4
41340,AGENCIES,158,8
33745,AGENDA,30,6
39933,AGENDUMS,92,8
14184,AGENE,40,5
26143,AGENE,32,5
36584,AGENESES,86,8
24446,AGENESIA,72,8
30252,AGENESIA,61,8
35916,AGENESIA,68,8
8214,AGENETIC,76,8
12114,AGENETIC,64,8
30657,AGENISE,11,7
35579,AGENISE,82,7
6423,AGENIZE,95,7
44640,AGENT,25,5
18788,AGENTIAL,76,8
15300,AGENTIVE,76,8
43804,AGER,26,4
44831,AGERS,12,5
55727,AGEUSIA,20,7
22004,AGGIE,28,5
24852,AGGIE,22,5
45948,AGGIE,21,5
4779,AGGRATED,67,8
3312,AGGRI,19,5
47209,AGGRI,14,5
10082,AGGRY,38,5
25981,AGHA,30,4
29172,AGHA,32,4
21264,AGILAS,17,6
42486,AGING,13,5
37034,AGINNERS,80,8
1436,AGIO,16,4
5461,AGIO,18,4
12203,AGIO,21,4
14665,AGIO,21,4
22972,AGIO,20,4
28151,AGIO,14,4
29008,AGIO,23,4
32494,AGIO,34,4
34089,AGIO,19,4
37029,AGIO,30,4
38526,AGIO,10,4
42390,AGIO,13,4
42530,AGIO,22,4
50238,AGIO,24,4
50864,AGIO,23,4
51354,AGIO,42,4
52630,AGIO,30,4
53368,AGIO,23,4
60149,AGIO,10,4
9097,AGIOS,30,5
37579,AGIOS,32,5
16312,AGIST,20,5
49530,AGISTED,66,7
54374,AGISTED,86,7
58690,AGISTED,75,7
41847,AGISTER,71,7
10753,AGITA,38,5
53855,AGITABLE,86,8
5087,AGITANS,71,7
12885,AGITATED,40,8
19123,AGITATES,61,8
8475,AGLEY,34,5
4039,AGLOO,17,5
5109,AGLOO,26,5
11260,AGLOW,26,5
24159,AGLOW,26,5
60521,AGLOW,33,5
34560,AGLU,18,4
36386,AGLY,25,4
24871,AGLYCON,77,7
24932,AGMA,31,4
9076,AGNISED,73,7
38550,AGNISED,72,7
24097,AGNIZE,51,6
22445,AGNOSIC,86,7
1342,AGO,29,3
1466,AGO,22,3
6887,AGO,24,3
13546,AGO,14,3
15169,AGO,28,3
22205,AGO,21,3
28799,AGO,15,3
35126,AGO,33,3
44524,AGO,26,3
46016,AGO,21,3
46095,AGO,17,3
46550,AGO,19,3
52407,AGO,21,3
55914,AGO,25,3
59009,AGO,23,3
21081,AGOG,19,4
21447,AGOG,16,4
25756,AGOG,9,4
57581,AGOG,18,4
19479,AGOGE,26,5
26612,AGOGE,14,5
58236,AGOGES,16,6
33664,AGOGIC,24,6
9512,AGONAL,26,6
49743,AGONAL,29,6
53252,AGONAL,30,6
3281,AGONE,24,5
38409,AGONE,46,5
53419,AGONE,33,5
57073,AGONE,26,5
45093,AGONIC,26,6
17507,AGONIES,68,7
49444,AGONIES,73,7
18965,AGONISE,80,7
21712,AGONISE,82,7
49182,AGONISE,66,7
49486,AGONISES,68,8
2729,AGONIST,74,7
18441,AGONIST,85,7
54024,AGONIST,70,7
35090,AGONY,75,5
8476,AGOOD,22,5
14013,AGOOD,24,5
17937,AGOOD,25,5
32144,AGOOD,28,5
41502,AGOOD,30,5
17043,AGORA,24,5
31379,AGORA,17,5
30451,AGOROT,27,6
13352,AGOUTA,24,6
11478,AGOUTI,21,6
15885,AGOUTI,18,6
19211,AGOUTI,24,6
32818,AGOUTI,24,6
59199,AGOUTI,26,6
10036,AGOUTY,28,6
49695,AGOUTY,34,6
40861,AGREED,20,6
44332,AGRIA,32,5
15624,AGRONOMY,45,8
15363,AGROUND,70,7
6999,AGS,20,3
27943,AGUE,19,4
35335,AGUE,22,4
41090,AGUE,14,4
52398,AGUE,25,4
54416,AGUE,27,4
28257,AGUED,42,5
29564,AGUED,31,5
43475,AGUED,32,5
16486,AGUES,29,5
18480,AGUISH,28,6
1723,AGUIZE,38,6
6337,AGUIZE,48,6
53151,AGUIZE,34,6
54746,AGUIZED,100,7
20698,AGUNAH,37,6
49328,AGUNOTH,22,7
17003,AGUTI,22,5
1469,AH,30,2
5173,AH,29,2
8758,AH,22,2
9840,AH,15,2
20922,AH,28,2
23304,AH,37,2
25204,AH,32,2
25531,AH,13,2
26697,AH,31,2
27884,AH,34,2
28954,AH,22,2
29776,AH,24,2
30798,AH,33,2
32010,AH,26,2
35528,AH,29,2
40340,AH,30,2
47142,AH,10,2
48435,AH,27,2
48503,AH,25,2
49560,AH,31,2
8070,AHA,23,3
10334,AHA,28,3
14325,AHA,19,3
16645,AHA,33,3
16904,AHA,36,3
18060,AHA,22,3
21943,AHA,24,3
35995,AHA,30,3
44912,AHA,32,3
46984,AHA,46,3
48024,AHA,28,3
50007,AHA,6,3
54223,AHA,30,3
20741,AHEAP,42,5
43615,AHEAP,40,5
46754,AHEAP,40,5
16300,AHEM,41,4
22358,AHEMERAL,194,8
44614,AHEMERAL,54,8
6701,AHI,26,3
7428,AHI,22,3
8319,AHI,27,3
9179,AHI,20,3
10715,AHI,23,3
11600,AHI,24,3
20655,AHI,40,3
32206,AHI,39,3
40205,AHI,30,3
45076,AHI,22,3
46494,AHI,12,3
54530,AHI,31,3
57027,AHI,25,3
57596,AHI,31,3
59335,AHI,22,3
59973,AHI,31,3
20720,AHIND,51,5
21722,AHIND,18,5
8165,AHING,39,5
42850,AHIS,33,4
9771,AHOY,30,4
20174,AHOY,25,4
29703,AHOY,44,4
38497,AHOY,33,4
56769,AHOY,49,4
59187,AHS,30,3
50041,AHULL,27,5
21253,AHURU,23,5
40305,AHURU,41,5
2183,AI,14,2
4745,AI,16,2
10121,AI,10,2
10468,AI,11,2
11460,AI,15,2
12623,AI,8,2
16060,AI,15,2
21057,AI,16,2
21710,AI,13,2
24945,AI,13,2
33812,AI,17,2
36542,AI,21,2
36801,AI,17,2
37589,AI,26,2
38893,AI,14,2
